====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
      31843.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31844.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31845.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31920.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32000.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32003.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32004.8 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32080.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32160.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32163.3 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32163.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32166.1 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32240.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32320.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32320.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32323.3 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32323.5 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32327.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32400.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32480.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32482.8 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      32560.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      32640.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      32642.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      32643.8 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      32720.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      32800.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      32880.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      32960.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      33040.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      33120.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      33200.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      33280.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      33282.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      33285.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33288.8 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33360.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33440.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33520.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33600.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33680.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33760.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33840.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      33920.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      34000.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      34080.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      34082.1 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      34160.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      34240.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      34243.1 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
      34243.5 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34320.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34400.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34480.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34560.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34640.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34720.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34800.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      34880.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      34960.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      35040.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      35043.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      35043.6 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35120.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35200.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35202.6 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      35202.7 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      35202.8 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35204.3 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35204.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35280.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35360.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35362.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35363.4 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35364.7 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35365.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35440.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35520.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35523.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35523.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35524.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35525.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35600.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35680.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35683.4 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35684.8 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35760.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35840.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35843.3 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35843.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35846.1 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35846.4 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      35920.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36000.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36001.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36003.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36004.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36005.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36080.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36160.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36163.4 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36164.8 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36240.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36320.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36323.3 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36323.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36326.1 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36326.4 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36400.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36480.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36483.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36483.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36484.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36485.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36560.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36640.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36643.4 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36644.8 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36720.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36800.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36803.3 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36803.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36806.1 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36880.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36960.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36960.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36963.3 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36963.5 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      36967.9 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      37040.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      37120.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      37122.8 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      37200.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      37280.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      37282.4 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
